stopID,stopName,baselineAvgMinutes,closedStopAvgMinutes,deltaMinutes,walkOnlyTrips,note
"000000001065","Hyben Allé (Kastrupvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000002148","Husum Torv (Frederikssundsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000053708","Terosevej (Sirgræsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000007853","Kattegatvej (Baltikavej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000053709","Terosevej (Sirgræsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000001077","Borneovej (Backersvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000003011","Sønderport (Amager Boulevard)",62.42,62.42,0.00,123,"3 baseline trips used this stop"
"000000003010","Amagerfælledvej (Amager Boulevard)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000029615","Nøragersmindevej (Kongelundsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000029616","Nøragersmindevej (Kongelundsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000007025","Kronprinsessegade (Sølvgade)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000005088","Vigerslevvej (Gammel Køge Landevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000007023","Store Kongensgade (Dronningens Tværgade)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000000868","Kanadavej (Kongelundsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000007030","Nørre Campus (Tagensvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000005095","Folehaven (Gammel Køge Landevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000005097","Vigerslevvej (Gammel Køge Landevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000005096","Gl. Køge Landev. Kollegiet (Gammel Køge Landevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000000872","Pilegård Allé (Kongelundsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000000871","Otto Baches Allé (Kongelundsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000000874","Kollundvej (Kongelundsvej)",62.42,62.42,0.00,123,"5 baseline trips used this stop"
"000000000873","Ryumgårdsvej (Kongelundsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000000876","Ugandavej (Kongelundsvej)",62.42,62.42,0.00,123,"3 baseline trips used this stop"
"000000000875","Oliefabriksvej (Kongelundsvej)",62.42,62.42,0.00,123,"4 baseline trips used this stop"
"000000000878","Alkmaar Allé (Kongelundsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000055585","Langhusvej (Midtfløjene)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000055586","Østfløjen (Ruten)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001969","Nørrebrohallen (Nørrebrogade)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000000877","Tunisvej (Kongelundsvej)",62.42,62.42,0.00,123,"3 baseline trips used this stop"
"000000001966","Kobbelvænget (Frederikssundsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000000879","Haarlem Allé (Kongelundsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000010432","Københavns Lufthavn (Ellehammersvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000030025","Operaen",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000055587","Ruten (Terrasserne)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000007004","Vigerslevvej (Vigerslev Allé)",62.42,62.42,0.00,123,"4 baseline trips used this stop"
"000000000841","Tårnby Kirke (Englandsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000000845","Hjallerup Allé (Englandsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000030013","Kløvermarksvej (Raffinaderivej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000054280","Valby St.  Lyshøjgårdsvej (Lyshøjgårdsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000054281","Kastrup St. (Ved Stationen)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000007010","Peder Hjorts Vej (Vigerslev Allé)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000047750","Thad Jones Vej (Sluseholmen)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000007007","Vigerslev Allé St. (Vigerslev Allé)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000007008","Fengersvej (Vigerslev Allé)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000000851","Tårnby Kirke (Englandsvej)",62.42,62.42,0.00,123,"7 baseline trips used this stop"
"000000001948","Formosavej (Backersvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000001949","Samosvej (Backersvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000007224","Gribskovvej  Bispebjerg Hospital (Lersø Parkallé)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000007225","Strødamvej (Lersø Parkallé)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000007222","Banebrinken (Emdrupvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000000821","Dragør Skole (Vestgrønningen)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000000822","Dragør Skole (Vestgrønningen)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000000827","Hollændervænget (Krudttårnsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000054047","Vigerslev Kirke (Lykkebovej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000030467","Ørestad St.  Kay Fiskers Plads (Ørestad St.)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000000831","Gåsevænget (Møllevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000006591","Kalkbrænderihavnsgade (Sundkrogsgade)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000003082","Amagerbrogade (Øresundsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000003086","Sundparken (Øresundsvej)",62.42,62.42,0.00,123,"3 baseline trips used this stop"
"000000003083","Kirkegårdsvej (Øresundsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000003087","Strandlodsvej (Øresundsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000000802","Brydes Allé (Sundholmsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000003095","Damhusengen (Jyllingevej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000000810","Søndergade (Møllegade)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000000812","Gåsevænget (Møllevej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000001902","Brønshøj Torv (Brønshøjvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000000815","Søndre Røsevej (Krudttårnsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000001551","Kastanievej (H.C. Ørsteds Vej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000000225","Bellahøj (Borups Allé)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000054649","Emdrup Torv",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000007082","Händelsvej (Stubmøllevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000055514","Vestamager Svømmehal (Ugandavej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001535","Gåsebæksvej (Valby Langgade)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001542","Rubinsteinsvej (Mozartsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000000695","Valløvej (Brønshøjvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001541","Kgs. Enghave  Valbyparken (Hammelstrupvej)",62.42,62.42,0.00,123,"3 baseline trips used this stop"
"000000001547","Tove Ditlevsens Plads (Enghavevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001544","Anker Jørgensens Plads (Borgbjergsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
